benchmark=d_str_rep_nt,solver=trau,TO=600.000000
path,sat,time
benchmark/laut/d_str_rep_nt/19630/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/21129/sink.trau,0,0.373139
benchmark/laut/d_str_rep_nt/21244/sink.trau,0,0.218753
benchmark/laut/d_str_rep_nt/29462/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/17461/sink.trau,0,0.171265
benchmark/laut/d_str_rep_nt/29972/sink.trau,0,0.471006
benchmark/laut/d_str_rep_nt/29552/sink.trau,0,0.418918
benchmark/laut/d_str_rep_nt/17856/sink.trau,0,0.419403
benchmark/laut/d_str_rep_nt/19671/sink.trau,0,0.531083
benchmark/laut/d_str_rep_nt/20623/sink.trau,0,0.318252
benchmark/laut/d_str_rep_nt/29505/sink.trau,0,0.219023
benchmark/laut/d_str_rep_nt/31391/sink.trau,1,0.570558
benchmark/laut/d_str_rep_nt/19398/sink.trau,0,0.224989
benchmark/laut/d_str_rep_nt/19332/sink.trau,0,0.320129
benchmark/laut/d_str_rep_nt/14064/sink.trau,0,0.169864
benchmark/laut/d_str_rep_nt/29601/sink.trau,1,0.980576
benchmark/laut/d_str_rep_nt/20830/sink.trau,0,0.320056
benchmark/laut/d_str_rep_nt/29952/sink.trau,0,0.369760
benchmark/laut/d_str_rep_nt/26083/sink.trau,0,0.666953
benchmark/laut/d_str_rep_nt/19745/sink.trau,0,0.370051
benchmark/laut/d_str_rep_nt/30039/sink.trau,0,0.370518
benchmark/laut/d_str_rep_nt/17979/sink.trau,0,0.167651
benchmark/laut/d_str_rep_nt/17575/sink.trau,0,0.722070
benchmark/laut/d_str_rep_nt/10209/sink.trau,1,0.424550
benchmark/laut/d_str_rep_nt/33236/sink.trau,0,0.170684
benchmark/laut/d_str_rep_nt/19253/sink.trau,0,0.219589
benchmark/laut/d_str_rep_nt/19701/sink.trau,0,0.521222
benchmark/laut/d_str_rep_nt/29737/sink.trau,0,0.169070
benchmark/laut/d_str_rep_nt/15965/sink.trau,0,0.169047
benchmark/laut/d_str_rep_nt/8291/sink.trau,0,0.166597
benchmark/laut/d_str_rep_nt/14053/sink.trau,0,0.167666
benchmark/laut/d_str_rep_nt/30184/sink.trau,0,0.370002
benchmark/laut/d_str_rep_nt/19105/sink.trau,0,0.221615
benchmark/laut/d_str_rep_nt/19508/sink.trau,0,0.216996
benchmark/laut/d_str_rep_nt/30210/sink.trau,0,0.319840
benchmark/laut/d_str_rep_nt/21094/sink.trau,0,0.369144
benchmark/laut/d_str_rep_nt/29920/sink.trau,0,0.527391
