benchmark=d_str_rep_nt,solver=ic3ia,TO=600.000000
path,sat,time,step
benchmark/laut/d_str_rep_nt/20586/sink.vmt,0,45.696968,59
benchmark/laut/d_str_rep_nt/21266/sink.vmt,0,134.481221,77
benchmark/laut/d_str_rep_nt/30007/sink.vmt,1,26.708751,56
benchmark/laut/d_str_rep_nt/17688/sink.vmt,1,7.051162,51
benchmark/laut/d_str_rep_nt/19154/sink.vmt,0,81.974080,57
benchmark/laut/d_str_rep_nt/19041/sink.vmt,1,91.038413,88
benchmark/laut/d_str_rep_nt/21254/sink.vmt,0,266.839146,139
benchmark/laut/d_str_rep_nt/16988/sink.vmt,0,205.533740,89
benchmark/laut/d_str_rep_nt/29796/sink.vmt,0,374.086304,81
benchmark/laut/d_str_rep_nt/17045/sink.vmt,0,225.083959,95
benchmark/laut/d_str_rep_nt/18974/sink.vmt,1,30.094862,87
benchmark/laut/d_str_rep_nt/19021/sink.vmt,0,118.046160,76
benchmark/laut/d_str_rep_nt/19595/sink.vmt,0,153.278537,83
benchmark/laut/d_str_rep_nt/30095/sink.vmt,0,286.880754,96
benchmark/laut/d_str_rep_nt/10220/sink.vmt,0,273.860527,87
benchmark/laut/d_str_rep_nt/16927/sink.vmt,0,68.221789,65
benchmark/laut/d_str_rep_nt/21006/sink.vmt,0,55.971107,64
benchmark/laut/d_str_rep_nt/29526/sink.vmt,1,120.020910,92
benchmark/laut/d_str_rep_nt/18493/sink.vmt,1,17.465446,50
benchmark/laut/d_str_rep_nt/21218/sink.vmt,0,82.010112,62
benchmark/laut/d_str_rep_nt/20937/sink.vmt,1,168.286984,91
benchmark/laut/d_str_rep_nt/17434/sink.vmt,0,408.892484,81
benchmark/laut/d_str_rep_nt/19439/sink.vmt,0,234.013802,83
benchmark/laut/d_str_rep_nt/21041/sink.vmt,1,93.022283,66
benchmark/laut/d_str_rep_nt/19630/sink.vmt,1,135.355219,88
benchmark/laut/d_str_rep_nt/21129/sink.vmt,0,165.316053,75
benchmark/laut/d_str_rep_nt/21244/sink.vmt,0,78.443414,77
benchmark/laut/d_str_rep_nt/29462/sink.vmt,1,138.589663,95
benchmark/laut/d_str_rep_nt/17461/sink.vmt,0,89.955486,64
benchmark/laut/d_str_rep_nt/29972/sink.vmt,0,257.533715,92
benchmark/laut/d_str_rep_nt/29552/sink.vmt,0,138.644047,81
benchmark/laut/d_str_rep_nt/17856/sink.vmt,0,170.824906,87
benchmark/laut/d_str_rep_nt/19671/sink.vmt,1,37.919195,55
benchmark/laut/d_str_rep_nt/20623/sink.vmt,0,139.015868,71
benchmark/laut/d_str_rep_nt/29505/sink.vmt,0,114.443456,73
benchmark/laut/d_str_rep_nt/31391/sink.vmt,1,2.430178,52
benchmark/laut/d_str_rep_nt/19398/sink.vmt,0,71.522704,65
benchmark/laut/d_str_rep_nt/19332/sink.vmt,0,132.940061,71
benchmark/laut/d_str_rep_nt/14064/sink.vmt,0,531.279746,109
