benchmark=d_str_rep_nt,solver=s3p,TO=600.000000
path,sat,time
benchmark/laut/d_str_rep_nt/17045/sink.s3,0,0.422582
benchmark/laut/d_str_rep_nt/18974/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19021/sink.s3,0,0.473764
benchmark/laut/d_str_rep_nt/19595/sink.s3,0,0.468071
benchmark/laut/d_str_rep_nt/30095/sink.s3,0,0.472102
benchmark/laut/d_str_rep_nt/10220/sink.s3,0,0.068344
benchmark/laut/d_str_rep_nt/16927/sink.s3,0,0.423080
benchmark/laut/d_str_rep_nt/21006/sink.s3,0,0.417053
benchmark/laut/d_str_rep_nt/29526/sink.s3,t,0.0
benchmark/laut/d_str_rep_nt/18493/sink.s3,1,1.128419
benchmark/laut/d_str_rep_nt/21218/sink.s3,0,0.423060
benchmark/laut/d_str_rep_nt/20937/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17434/sink.s3,0,0.467426
benchmark/laut/d_str_rep_nt/19439/sink.s3,0,0.472699
benchmark/laut/d_str_rep_nt/21041/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19630/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/21129/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/21244/sink.s3,0,0.419320
benchmark/laut/d_str_rep_nt/29462/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17461/sink.s3,0,0.371056
benchmark/laut/d_str_rep_nt/29972/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29552/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17856/sink.s3,0,0.571805
benchmark/laut/d_str_rep_nt/19671/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20623/sink.s3,0,0.474519
benchmark/laut/d_str_rep_nt/29505/sink.s3,0,0.421581
benchmark/laut/d_str_rep_nt/31391/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19398/sink.s3,0,0.522171
benchmark/laut/d_str_rep_nt/19332/sink.s3,0,0.472288
benchmark/laut/d_str_rep_nt/14064/sink.s3,0,0.119544
benchmark/laut/d_str_rep_nt/29601/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20830/sink.s3,0,0.473563
benchmark/laut/d_str_rep_nt/29952/sink.s3,0,0.472983
benchmark/laut/d_str_rep_nt/26083/sink.s3,1,0.923508
benchmark/laut/d_str_rep_nt/19745/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/30039/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17979/sink.s3,0,0.419593
benchmark/laut/d_str_rep_nt/17575/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/10209/sink.s3,1,0.166010
benchmark/laut/d_str_rep_nt/33236/sink.s3,0,0.419892
benchmark/laut/d_str_rep_nt/19253/sink.s3,0,0.475033
benchmark/laut/d_str_rep_nt/19701/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29737/sink.s3,0,0.525996
benchmark/laut/d_str_rep_nt/15965/sink.s3,0,0.065671
benchmark/laut/d_str_rep_nt/8291/sink.s3,0,0.118964
benchmark/laut/d_str_rep_nt/14053/sink.s3,0,0.118570
benchmark/laut/d_str_rep_nt/30184/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19105/sink.s3,0,0.419692
benchmark/laut/d_str_rep_nt/19508/sink.s3,0,0.421294
benchmark/laut/d_str_rep_nt/30210/sink.s3,0,0.468990
benchmark/laut/d_str_rep_nt/21094/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29920/sink.s3,x,0.0
