benchmark=x-str-rep,solver=abc,TO=20.000000
path,sat,time,step
benchmark/laut/x-str-rep/19650/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19911/sink.abc,x,0.000000,0
benchmark/laut/x-str-rep/20603/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/33020/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19125/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/2180/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/29766/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/18493/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17241/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17363/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/9032/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/10206/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/20800/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/20094/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/6361/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/15961/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/14053/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/31697/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17688/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/12115/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/5169/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17499/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19508/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17647/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17172/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/20731/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/16760/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/30341/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/20707/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/2172/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19543/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/6345/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/4418/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/16749/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/12116/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19062/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/29920/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/33040/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19352/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17778/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17961/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/16769/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/26239/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/16778/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/3072/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/31731/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19915/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/14049/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/14064/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/29552/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17756/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/18061/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/20472/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19671/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/15965/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/21244/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17621/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/18057/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/2176/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/32738/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/26201/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19875/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/24834/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/18209/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19398/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/20635/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/6350/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/24717/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/18998/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19439/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17525/sink.abc,x,0.000000,x
