benchmark=x-str-rep,solver=ic3ia,TO=600.000000
path,sat,time,step
benchmark/laut/x-str-rep/6361/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/15961/sink.vmt,1,429.494957,158
benchmark/laut/x-str-rep/14053/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/31697/sink.vmt,0,93.186662,152
benchmark/laut/x-str-rep/17688/sink.vmt,0,179.815441,198
benchmark/laut/x-str-rep/12115/sink.vmt,0,8.436020,53
benchmark/laut/x-str-rep/5169/sink.vmt,0,13.591975,22
benchmark/laut/x-str-rep/17499/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19508/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17647/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17172/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/20731/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/16760/sink.vmt,1,1.921721,10
benchmark/laut/x-str-rep/30341/sink.vmt,0,94.118306,151
benchmark/laut/x-str-rep/20707/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/2172/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19543/sink.vmt,0,174.896070,199
benchmark/laut/x-str-rep/6345/sink.vmt,0,83.131100,32
benchmark/laut/x-str-rep/4418/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/16749/sink.vmt,1,0.968769,10
benchmark/laut/x-str-rep/12116/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19062/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/29920/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/33040/sink.vmt,0,62.842751,143
benchmark/laut/x-str-rep/19352/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17778/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17961/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/16769/sink.vmt,1,1.570738,10
benchmark/laut/x-str-rep/26239/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/16778/sink.vmt,1,1.970828,10
benchmark/laut/x-str-rep/3072/sink.vmt,0,0.065459,1
benchmark/laut/x-str-rep/31731/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19915/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/14049/sink.vmt,0,23.260378,82
benchmark/laut/x-str-rep/14064/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/29552/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17756/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/18061/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/20472/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19671/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/15965/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/21244/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17621/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/18057/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/2176/sink.vmt,x,0.000000,x
benchmark/laut/x-str-rep/32738/sink.vmt,0,99.412001,99
benchmark/laut/x-str-rep/26201/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19875/sink.vmt,0,93.250121,153
benchmark/laut/x-str-rep/24834/sink.vmt,0,143.263864,119
benchmark/laut/x-str-rep/18209/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19398/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/20635/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/6350/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/24717/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/18998/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19439/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17525/sink.vmt,t,0.0,0
