benchmark=x-str-rep,solver=s3p,TO=600.000000
path,sat,time
benchmark/laut/x-str-rep/2165/sink.s3,x,0.000000
benchmark/laut/x-str-rep/2181/sink.s3,1,0.115924
benchmark/laut/x-str-rep/30292/sink.s3,1,0.216230
benchmark/laut/x-str-rep/21129/sink.s3,x,0.000000
benchmark/laut/x-str-rep/20496/sink.s3,x,0.000000
benchmark/laut/x-str-rep/32993/sink.s3,t,0.0
benchmark/laut/x-str-rep/29972/sink.s3,x,0.000000
benchmark/laut/x-str-rep/19105/sink.s3,x,0.000000
benchmark/laut/x-str-rep/19719/sink.s3,x,0.000000
benchmark/laut/x-str-rep/20690/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17271/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17327/sink.s3,t,0.0
benchmark/laut/x-str-rep/10209/sink.s3,1,0.318511
benchmark/laut/x-str-rep/17829/sink.s3,t,0.0
benchmark/laut/x-str-rep/26404/sink.s3,x,0.000000
benchmark/laut/x-str-rep/18101/sink.s3,x,0.000000
benchmark/laut/x-str-rep/19418/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17104/sink.s3,x,0.000000
benchmark/laut/x-str-rep/31586/sink.s3,1,6.836719
benchmark/laut/x-str-rep/29337/sink.s3,x,0.000000
benchmark/laut/x-str-rep/19650/sink.s3,x,0.000000
benchmark/laut/x-str-rep/19911/sink.s3,t,0.0
benchmark/laut/x-str-rep/20603/sink.s3,x,0.000000
benchmark/laut/x-str-rep/33020/sink.s3,t,0.0
benchmark/laut/x-str-rep/19125/sink.s3,x,0.000000
benchmark/laut/x-str-rep/2180/sink.s3,1,0.118046
benchmark/laut/x-str-rep/29766/sink.s3,x,0.000000
benchmark/laut/x-str-rep/18493/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17241/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17363/sink.s3,t,0.0
benchmark/laut/x-str-rep/9032/sink.s3,1,0.217344
benchmark/laut/x-str-rep/10206/sink.s3,1,0.316725
benchmark/laut/x-str-rep/20800/sink.s3,x,0.000000
benchmark/laut/x-str-rep/20094/sink.s3,x,0.000000
benchmark/laut/x-str-rep/6361/sink.s3,t,0.0
benchmark/laut/x-str-rep/15961/sink.s3,1,0.124733
benchmark/laut/x-str-rep/14053/sink.s3,1,0.568408
benchmark/laut/x-str-rep/31697/sink.s3,0,0.116668
benchmark/laut/x-str-rep/17688/sink.s3,x,0.000000
benchmark/laut/x-str-rep/12115/sink.s3,0,0.066663
benchmark/laut/x-str-rep/5169/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17499/sink.s3,0,0.167415
benchmark/laut/x-str-rep/19508/sink.s3,0,0.167027
benchmark/laut/x-str-rep/17647/sink.s3,0,0.166662
benchmark/laut/x-str-rep/17172/sink.s3,0,0.166943
benchmark/laut/x-str-rep/20731/sink.s3,x,0.000000
benchmark/laut/x-str-rep/16760/sink.s3,x,0.000000
benchmark/laut/x-str-rep/30341/sink.s3,0,0.117007
benchmark/laut/x-str-rep/20707/sink.s3,x,0.000000
benchmark/laut/x-str-rep/2172/sink.s3,x,0.000000
benchmark/laut/x-str-rep/19543/sink.s3,0,0.116710
benchmark/laut/x-str-rep/6345/sink.s3,0,0.367598
benchmark/laut/x-str-rep/4418/sink.s3,0,0.167002
benchmark/laut/x-str-rep/16749/sink.s3,1,0.116674
benchmark/laut/x-str-rep/12116/sink.s3,0,0.116795
benchmark/laut/x-str-rep/19062/sink.s3,0,0.166854
benchmark/laut/x-str-rep/29920/sink.s3,0,0.166874
benchmark/laut/x-str-rep/33040/sink.s3,0,0.116864
benchmark/laut/x-str-rep/19352/sink.s3,0,0.166939
benchmark/laut/x-str-rep/17778/sink.s3,0,0.166859
benchmark/laut/x-str-rep/17961/sink.s3,x,0.000000
benchmark/laut/x-str-rep/16769/sink.s3,x,0.000000
benchmark/laut/x-str-rep/26239/sink.s3,0,0.116735
benchmark/laut/x-str-rep/16778/sink.s3,x,0.000000
benchmark/laut/x-str-rep/3072/sink.s3,0,0.066676
benchmark/laut/x-str-rep/31731/sink.s3,0,0.116687
benchmark/laut/x-str-rep/19915/sink.s3,0,0.116811
benchmark/laut/x-str-rep/14049/sink.s3,0,0.066643
benchmark/laut/x-str-rep/14064/sink.s3,0,0.166903
benchmark/laut/x-str-rep/29552/sink.s3,0,0.166770
benchmark/laut/x-str-rep/17756/sink.s3,0,0.166850
benchmark/laut/x-str-rep/18061/sink.s3,x,0.000000
benchmark/laut/x-str-rep/20472/sink.s3,x,0.000000
benchmark/laut/x-str-rep/19671/sink.s3,0,0.166951
benchmark/laut/x-str-rep/15965/sink.s3,0,0.166998
benchmark/laut/x-str-rep/21244/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17621/sink.s3,0,0.166932
benchmark/laut/x-str-rep/18057/sink.s3,x,0.000000
benchmark/laut/x-str-rep/2176/sink.s3,x,0.000000
benchmark/laut/x-str-rep/32738/sink.s3,0,0.116901
benchmark/laut/x-str-rep/26201/sink.s3,0,0.116761
benchmark/laut/x-str-rep/19875/sink.s3,0,0.116714
benchmark/laut/x-str-rep/24834/sink.s3,0,0.116808
benchmark/laut/x-str-rep/18209/sink.s3,x,0.000000
benchmark/laut/x-str-rep/19398/sink.s3,0,0.166988
benchmark/laut/x-str-rep/20635/sink.s3,x,0.000000
benchmark/laut/x-str-rep/6350/sink.s3,0,0.367693
benchmark/laut/x-str-rep/24717/sink.s3,0,0.116818
benchmark/laut/x-str-rep/18998/sink.s3,0,0.167003
benchmark/laut/x-str-rep/19439/sink.s3,0,0.166931
benchmark/laut/x-str-rep/17525/sink.s3,0,0.116849
