benchmark=x-str-rep,solver=z3,TO=20.000000
path,sat,time
benchmark/laut/x-str-rep/16927/sink.smt2,0,0.032994
benchmark/laut/x-str-rep/15960/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/21266/sink.smt2,0,0.033341
benchmark/laut/x-str-rep/22547/sink.smt2,0,0.033454
benchmark/laut/x-str-rep/19021/sink.smt2,0,0.033456
benchmark/laut/x-str-rep/16988/sink.smt2,0,0.033004
benchmark/laut/x-str-rep/17218/sink.smt2,0,0.033417
benchmark/laut/x-str-rep/22196/sink.smt2,0,0.033455
benchmark/laut/x-str-rep/29656/sink.smt2,0,0.033469
benchmark/laut/x-str-rep/25888/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/7102/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/29882/sink.smt2,0,0.033384
benchmark/laut/x-str-rep/21331/sink.smt2,0,0.065636
benchmark/laut/x-str-rep/14787/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/17892/sink.smt2,0,0.033412
benchmark/laut/x-str-rep/29673/sink.smt2,0,0.033420
benchmark/laut/x-str-rep/21094/sink.smt2,0,0.033002
benchmark/laut/x-str-rep/17728/sink.smt2,0,0.033427
benchmark/laut/x-str-rep/19273/sink.smt2,0,0.033455
benchmark/laut/x-str-rep/19456/sink.smt2,0,0.032991
benchmark/laut/x-str-rep/22443/sink.smt2,0,0.033497
benchmark/laut/x-str-rep/29903/sink.smt2,0,0.033366
benchmark/laut/x-str-rep/2165/sink.smt2,1,0.065125
benchmark/laut/x-str-rep/2181/sink.smt2,1,0.065604
benchmark/laut/x-str-rep/30292/sink.smt2,0,0.033494
benchmark/laut/x-str-rep/21129/sink.smt2,0,0.032941
benchmark/laut/x-str-rep/20496/sink.smt2,0,0.033468
benchmark/laut/x-str-rep/21978/sink.smt2,0,0.033407
benchmark/laut/x-str-rep/32993/sink.smt2,0,0.033010
benchmark/laut/x-str-rep/29972/sink.smt2,0,0.033450
benchmark/laut/x-str-rep/23506/sink.smt2,0,0.033389
benchmark/laut/x-str-rep/19105/sink.smt2,0,0.033400
benchmark/laut/x-str-rep/19719/sink.smt2,0,0.033427
benchmark/laut/x-str-rep/20690/sink.smt2,0,0.033452
benchmark/laut/x-str-rep/17271/sink.smt2,0,0.033365
benchmark/laut/x-str-rep/17327/sink.smt2,0,0.033394
benchmark/laut/x-str-rep/10209/sink.smt2,0,0.065504
benchmark/laut/x-str-rep/17829/sink.smt2,0,0.033475
benchmark/laut/x-str-rep/26404/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/18101/sink.smt2,0,0.033362
benchmark/laut/x-str-rep/19418/sink.smt2,0,0.033432
benchmark/laut/x-str-rep/17104/sink.smt2,0,0.033467
benchmark/laut/x-str-rep/31586/sink.smt2,0,0.033425
benchmark/laut/x-str-rep/22492/sink.smt2,0,0.033479
