benchmark=kaluza,solver=trau,TO=20.000000
path,sat,time
benchmark/laut/kaluza/1127/sink.s3,0,0.037724
benchmark/laut/kaluza/1452/sink.s3,0,0.017648
benchmark/laut/kaluza/735/sink.s3,1,0.067263
benchmark/laut/kaluza/920/sink.s3,0,0.035544
benchmark/laut/kaluza/1261/sink.s3,0,0.017661
benchmark/laut/kaluza/348/sink.s3,1,0.033910
benchmark/laut/kaluza/492/sink.s3,1,0.065467
benchmark/laut/kaluza/670/sink.s3,0,0.018697
benchmark/laut/kaluza/1449/sink.s3,0,0.019398
benchmark/laut/kaluza/209/sink.s3,1,0.069243
benchmark/laut/kaluza/776/sink.s3,0,0.037176
benchmark/laut/kaluza/1067/sink.s3,0,0.034160
benchmark/laut/kaluza/797/sink.s3,0,0.036037
benchmark/laut/kaluza/1276/sink.s3,1,0.076422
benchmark/laut/kaluza/1369/sink.s3,1,0.070964
benchmark/laut/kaluza/1430/sink.s3,1,0.067874
benchmark/laut/kaluza/338/sink.s3,1,0.072384
benchmark/laut/kaluza/653/sink.s3,1,0.071203
benchmark/laut/kaluza/1577/sink.s3,0,0.069862
benchmark/laut/kaluza/344/sink.s3,1,0.067141
benchmark/laut/kaluza/1961/sink.s3,0,0.020500
benchmark/laut/kaluza/611/sink.s3,1,0.068730
benchmark/laut/kaluza/1586/sink.s3,1,0.066851
benchmark/laut/kaluza/184/sink.s3,1,0.067906
benchmark/laut/kaluza/1341/sink.s3,0,0.033498
benchmark/laut/kaluza/1808/sink.s3,0,0.033996
benchmark/laut/kaluza/994/sink.s3,0,0.035468
benchmark/laut/kaluza/406/sink.s3,0,0.069106
benchmark/laut/kaluza/880/sink.s3,0,0.018372
benchmark/laut/kaluza/551/sink.s3,0,0.033337
benchmark/laut/kaluza/1026/sink.s3,0,0.034862
benchmark/laut/kaluza/449/sink.s3,0,0.020459
benchmark/laut/kaluza/1060/sink.s3,0,0.035178
benchmark/laut/kaluza/1850/sink.s3,1,0.071404
benchmark/laut/kaluza/1817/sink.s3,0,0.068628
benchmark/laut/kaluza/884/sink.s3,0,0.071788
benchmark/laut/kaluza/42/sink.s3,1,0.068875
benchmark/laut/kaluza/67/sink.s3,1,0.065807
benchmark/laut/kaluza/1202/sink.s3,1,0.068085
benchmark/laut/kaluza/102/sink.s3,1,0.074397
benchmark/laut/kaluza/1918/sink.s3,0,0.034996
benchmark/laut/kaluza/1892/sink.s3,1,0.116955
benchmark/laut/kaluza/700/sink.s3,1,0.067918
benchmark/laut/kaluza/826/sink.s3,1,0.070585
benchmark/laut/kaluza/28/sink.s3,1,0.064437
benchmark/laut/kaluza/854/sink.s3,1,0.070787
benchmark/laut/kaluza/1950/sink.s3,0,0.036777
benchmark/laut/kaluza/925/sink.s3,1,0.071873
benchmark/laut/kaluza/326/sink.s3,0,0.036654
benchmark/laut/kaluza/1443/sink.s3,0,0.035336
benchmark/laut/kaluza/213/sink.s3,1,0.070115
benchmark/laut/kaluza/1314/sink.s3,0,0.069475
benchmark/laut/kaluza/705/sink.s3,1,0.072511
benchmark/laut/kaluza/455/sink.s3,0,0.038573
benchmark/laut/kaluza/491/sink.s3,0,0.065850
benchmark/laut/kaluza/685/sink.s3,1,0.119565
benchmark/laut/kaluza/1034/sink.s3,1,0.065498
benchmark/laut/kaluza/81/sink.s3,1,0.124029
benchmark/laut/kaluza/460/sink.s3,0,0.032876
benchmark/laut/kaluza/414/sink.s3,1,0.066763
benchmark/laut/kaluza/1609/sink.s3,0,0.017714
benchmark/laut/kaluza/147/sink.s3,1,0.068449
benchmark/laut/kaluza/1714/sink.s3,0,0.018000
benchmark/laut/kaluza/1248/sink.s3,0,0.018496
benchmark/laut/kaluza/1864/sink.s3,0,0.016273
benchmark/laut/kaluza/713/sink.s3,1,0.066508
benchmark/laut/kaluza/362/sink.s3,0,0.034269
benchmark/laut/kaluza/728/sink.s3,0,0.033356
benchmark/laut/kaluza/1684/sink.s3,1,0.068856
benchmark/laut/kaluza/1270/sink.s3,0,0.036367
benchmark/laut/kaluza/1770/sink.s3,1,0.272607
benchmark/laut/kaluza/1700/sink.s3,1,0.068000
benchmark/laut/kaluza/1784/sink.s3,0,0.020341
benchmark/laut/kaluza/446/sink.s3,0,0.019448
benchmark/laut/kaluza/1965/sink.s3,1,0.118108
benchmark/laut/kaluza/822/sink.s3,1,0.119071
benchmark/laut/kaluza/1048/sink.s3,1,0.119303
benchmark/laut/kaluza/3/sink.s3,0,0.071043
benchmark/laut/kaluza/1168/sink.s3,0,0.070680
benchmark/laut/kaluza/515/sink.s3,0,0.068468
benchmark/laut/kaluza/1594/sink.s3,0,0.039885
benchmark/laut/kaluza/1188/sink.s3,0,0.066756
benchmark/laut/kaluza/1190/sink.s3,0,0.034211
benchmark/laut/kaluza/1056/sink.s3,1,0.067881
benchmark/laut/kaluza/1608/sink.s3,0,0.019241
benchmark/laut/kaluza/179/sink.s3,1,0.068523
benchmark/laut/kaluza/931/sink.s3,1,0.067710
benchmark/laut/kaluza/1189/sink.s3,0,0.036002
benchmark/laut/kaluza/1664/sink.s3,1,0.067537
benchmark/laut/kaluza/1923/sink.s3,1,0.073290
benchmark/laut/kaluza/1478/sink.s3,0,0.067819
benchmark/laut/kaluza/985/sink.s3,0,0.069681
