benchmark=kaluza,solver=ic3ia,TO=20.000000
path,sat,time,step
benchmark/laut/kaluza/1339/sink.vmt,0,0.037943,1
benchmark/laut/kaluza/1243/sink.vmt,1,0.037861,0
benchmark/laut/kaluza/770/sink.vmt,1,0.042977,1
benchmark/laut/kaluza/1318/sink.vmt,0,0.035730,1
benchmark/laut/kaluza/257/sink.vmt,1,0.065635,4
benchmark/laut/kaluza/390/sink.vmt,1,0.067485,1
benchmark/laut/kaluza/1426/sink.vmt,1,0.317376,11
benchmark/laut/kaluza/1039/sink.vmt,0,0.033397,1
benchmark/laut/kaluza/216/sink.vmt,1,14.381201,80
benchmark/laut/kaluza/607/sink.vmt,0,0.033750,1
benchmark/laut/kaluza/399/sink.vmt,0,0.172759,1
benchmark/laut/kaluza/1127/sink.vmt,0,0.035452,1
benchmark/laut/kaluza/1452/sink.vmt,0,0.018703,1
benchmark/laut/kaluza/735/sink.vmt,1,0.320996,11
benchmark/laut/kaluza/920/sink.vmt,0,0.033919,1
benchmark/laut/kaluza/1261/sink.vmt,0,0.067602,1
benchmark/laut/kaluza/348/sink.vmt,1,0.016816,0
benchmark/laut/kaluza/492/sink.vmt,1,0.322934,11
benchmark/laut/kaluza/670/sink.vmt,0,0.039921,1
benchmark/laut/kaluza/1449/sink.vmt,0,0.036845,1
benchmark/laut/kaluza/209/sink.vmt,1,0.065910,4
benchmark/laut/kaluza/776/sink.vmt,0,0.033660,1
benchmark/laut/kaluza/1067/sink.vmt,0,0.035200,1
benchmark/laut/kaluza/797/sink.vmt,0,0.069262,1
benchmark/laut/kaluza/1276/sink.vmt,1,0.225218,19
benchmark/laut/kaluza/1369/sink.vmt,1,0.381003,11
benchmark/laut/kaluza/1430/sink.vmt,1,0.035154,0
benchmark/laut/kaluza/338/sink.vmt,1,0.270781,20
benchmark/laut/kaluza/653/sink.vmt,1,0.320023,11
benchmark/laut/kaluza/1577/sink.vmt,0,0.033611,1
benchmark/laut/kaluza/344/sink.vmt,1,0.222520,19
benchmark/laut/kaluza/1961/sink.vmt,0,0.034920,1
benchmark/laut/kaluza/611/sink.vmt,1,0.023358,0
benchmark/laut/kaluza/1586/sink.vmt,1,0.268554,19
benchmark/laut/kaluza/184/sink.vmt,1,0.037581,0
benchmark/laut/kaluza/1341/sink.vmt,0,0.045791,1
benchmark/laut/kaluza/1808/sink.vmt,0,0.020318,1
benchmark/laut/kaluza/994/sink.vmt,0,0.018111,1
benchmark/laut/kaluza/406/sink.vmt,0,0.032911,1
benchmark/laut/kaluza/880/sink.vmt,0,0.019806,1
benchmark/laut/kaluza/551/sink.vmt,0,0.021418,1
benchmark/laut/kaluza/1026/sink.vmt,0,0.118584,4
benchmark/laut/kaluza/449/sink.vmt,0,0.018226,1
benchmark/laut/kaluza/1060/sink.vmt,0,0.038143,1
benchmark/laut/kaluza/1850/sink.vmt,1,0.034024,1
benchmark/laut/kaluza/1817/sink.vmt,0,0.033659,1
benchmark/laut/kaluza/884/sink.vmt,0,0.033368,1
benchmark/laut/kaluza/42/sink.vmt,1,0.034152,4
benchmark/laut/kaluza/67/sink.vmt,1,0.035542,4
benchmark/laut/kaluza/1202/sink.vmt,1,0.273329,20
benchmark/laut/kaluza/102/sink.vmt,1,0.070166,4
benchmark/laut/kaluza/1918/sink.vmt,0,0.033303,1
benchmark/laut/kaluza/1892/sink.vmt,1,0.318673,21
benchmark/laut/kaluza/700/sink.vmt,1,0.276304,21
benchmark/laut/kaluza/826/sink.vmt,1,0.117546,11
benchmark/laut/kaluza/28/sink.vmt,1,0.032858,4
benchmark/laut/kaluza/854/sink.vmt,1,0.320757,20
benchmark/laut/kaluza/1950/sink.vmt,0,0.034241,1
benchmark/laut/kaluza/925/sink.vmt,1,0.273078,20
benchmark/laut/kaluza/326/sink.vmt,0,0.017217,1
benchmark/laut/kaluza/1443/sink.vmt,0,0.082074,1
benchmark/laut/kaluza/213/sink.vmt,1,0.067626,4
benchmark/laut/kaluza/1314/sink.vmt,0,0.318379,16
benchmark/laut/kaluza/705/sink.vmt,1,0.269853,20
benchmark/laut/kaluza/455/sink.vmt,0,0.324315,19
benchmark/laut/kaluza/491/sink.vmt,0,0.036369,1
benchmark/laut/kaluza/685/sink.vmt,1,0.325774,21
benchmark/laut/kaluza/1034/sink.vmt,1,0.322173,20
benchmark/laut/kaluza/81/sink.vmt,1,0.474724,6
benchmark/laut/kaluza/460/sink.vmt,0,0.037607,1
benchmark/laut/kaluza/414/sink.vmt,1,0.266631,20
benchmark/laut/kaluza/1609/sink.vmt,0,0.032987,1
benchmark/laut/kaluza/147/sink.vmt,1,0.168936,5
benchmark/laut/kaluza/1714/sink.vmt,0,0.065542,1
benchmark/laut/kaluza/1248/sink.vmt,0,0.033565,1
benchmark/laut/kaluza/1864/sink.vmt,0,0.034442,1
benchmark/laut/kaluza/713/sink.vmt,1,0.032838,0
benchmark/laut/kaluza/362/sink.vmt,0,0.035012,1
benchmark/laut/kaluza/728/sink.vmt,0,0.032614,1
benchmark/laut/kaluza/1684/sink.vmt,1,0.035973,1
benchmark/laut/kaluza/1270/sink.vmt,0,0.035800,1
benchmark/laut/kaluza/1770/sink.vmt,t,0.0,0
benchmark/laut/kaluza/1700/sink.vmt,1,0.218875,19
benchmark/laut/kaluza/1784/sink.vmt,0,0.019759,1
benchmark/laut/kaluza/446/sink.vmt,0,0.038606,1
benchmark/laut/kaluza/1965/sink.vmt,1,0.519418,24
benchmark/laut/kaluza/822/sink.vmt,1,0.217177,19
benchmark/laut/kaluza/1048/sink.vmt,1,0.318711,20
benchmark/laut/kaluza/3/sink.vmt,0,0.034870,1
benchmark/laut/kaluza/1168/sink.vmt,0,0.315566,16
benchmark/laut/kaluza/515/sink.vmt,0,0.117956,1
benchmark/laut/kaluza/1594/sink.vmt,0,0.068581,1
benchmark/laut/kaluza/1188/sink.vmt,0,0.032822,1
benchmark/laut/kaluza/1190/sink.vmt,0,0.016200,1
benchmark/laut/kaluza/1056/sink.vmt,1,0.037630,1
benchmark/laut/kaluza/1608/sink.vmt,0,0.037325,1
benchmark/laut/kaluza/179/sink.vmt,1,0.036424,0
benchmark/laut/kaluza/931/sink.vmt,1,0.267777,19
benchmark/laut/kaluza/1189/sink.vmt,0,0.036042,1
benchmark/laut/kaluza/1664/sink.vmt,1,0.036801,1
benchmark/laut/kaluza/1923/sink.vmt,1,0.033257,1
benchmark/laut/kaluza/1478/sink.vmt,0,0.035158,1
benchmark/laut/kaluza/985/sink.vmt,0,0.035163,1
benchmark/laut/kaluza/1694/sink.vmt,0,0.016939,1
benchmark/laut/kaluza/628/sink.vmt,1,0.229394,19
benchmark/laut/kaluza/375/sink.vmt,1,0.034668,1
benchmark/laut/kaluza/407/sink.vmt,0,0.036132,1
benchmark/laut/kaluza/16/sink.vmt,1,0.039265,4
benchmark/laut/kaluza/1726/sink.vmt,1,0.070144,9
benchmark/laut/kaluza/1556/sink.vmt,0,0.035676,1
benchmark/laut/kaluza/1277/sink.vmt,0,0.068071,1
benchmark/laut/kaluza/609/sink.vmt,1,0.118900,11
benchmark/laut/kaluza/506/sink.vmt,1,0.123198,11
