benchmark=kaluza,solver=s3p,TO=20.000000
path,sat,time
benchmark/laut/kaluza/399/sink.s3,0,0.117442
benchmark/laut/kaluza/1127/sink.s3,0,0.038915
benchmark/laut/kaluza/1452/sink.s3,0,0.035041
benchmark/laut/kaluza/735/sink.s3,1,0.068097
benchmark/laut/kaluza/920/sink.s3,0,0.036103
benchmark/laut/kaluza/1261/sink.s3,0,0.035264
benchmark/laut/kaluza/348/sink.s3,1,0.033002
benchmark/laut/kaluza/492/sink.s3,1,0.066800
benchmark/laut/kaluza/670/sink.s3,0,0.034886
benchmark/laut/kaluza/1449/sink.s3,0,0.033649
benchmark/laut/kaluza/209/sink.s3,1,0.038031
benchmark/laut/kaluza/776/sink.s3,0,0.034354
benchmark/laut/kaluza/1067/sink.s3,0,0.034697
benchmark/laut/kaluza/797/sink.s3,0,0.034682
benchmark/laut/kaluza/1276/sink.s3,1,0.037146
benchmark/laut/kaluza/1369/sink.s3,1,0.066230
benchmark/laut/kaluza/1430/sink.s3,1,0.036483
benchmark/laut/kaluza/338/sink.s3,1,0.035024
benchmark/laut/kaluza/653/sink.s3,1,0.067233
benchmark/laut/kaluza/1577/sink.s3,0,0.033271
benchmark/laut/kaluza/344/sink.s3,1,0.033568
benchmark/laut/kaluza/1961/sink.s3,0,0.032725
benchmark/laut/kaluza/611/sink.s3,1,0.034363
benchmark/laut/kaluza/1586/sink.s3,1,0.077169
benchmark/laut/kaluza/184/sink.s3,1,0.035128
benchmark/laut/kaluza/1341/sink.s3,0,0.038765
benchmark/laut/kaluza/1808/sink.s3,0,0.034222
benchmark/laut/kaluza/994/sink.s3,0,0.034944
benchmark/laut/kaluza/406/sink.s3,0,0.037077
benchmark/laut/kaluza/880/sink.s3,0,0.033088
benchmark/laut/kaluza/551/sink.s3,0,0.036728
benchmark/laut/kaluza/1026/sink.s3,0,0.035766
benchmark/laut/kaluza/449/sink.s3,0,0.036735
benchmark/laut/kaluza/1060/sink.s3,0,0.037358
benchmark/laut/kaluza/1850/sink.s3,1,0.036766
benchmark/laut/kaluza/1817/sink.s3,0,0.038459
benchmark/laut/kaluza/884/sink.s3,0,0.034823
benchmark/laut/kaluza/42/sink.s3,1,0.036073
benchmark/laut/kaluza/67/sink.s3,1,0.035768
benchmark/laut/kaluza/1202/sink.s3,1,0.037355
benchmark/laut/kaluza/102/sink.s3,1,0.034724
benchmark/laut/kaluza/1918/sink.s3,0,0.033662
benchmark/laut/kaluza/1892/sink.s3,1,0.067497
benchmark/laut/kaluza/700/sink.s3,1,0.033389
benchmark/laut/kaluza/826/sink.s3,1,0.034750
benchmark/laut/kaluza/28/sink.s3,1,0.034956
benchmark/laut/kaluza/854/sink.s3,1,0.066422
benchmark/laut/kaluza/1950/sink.s3,0,0.035123
benchmark/laut/kaluza/925/sink.s3,1,0.035761
benchmark/laut/kaluza/326/sink.s3,0,0.033699
benchmark/laut/kaluza/1443/sink.s3,0,0.033849
benchmark/laut/kaluza/213/sink.s3,1,0.036493
benchmark/laut/kaluza/1314/sink.s3,0,0.035189
benchmark/laut/kaluza/705/sink.s3,1,0.068057
benchmark/laut/kaluza/455/sink.s3,0,0.034851
benchmark/laut/kaluza/491/sink.s3,0,0.032126
benchmark/laut/kaluza/685/sink.s3,1,0.065710
benchmark/laut/kaluza/1034/sink.s3,1,0.035114
benchmark/laut/kaluza/81/sink.s3,1,0.067294
benchmark/laut/kaluza/460/sink.s3,0,0.034324
benchmark/laut/kaluza/414/sink.s3,1,0.065462
benchmark/laut/kaluza/1609/sink.s3,0,0.034989
benchmark/laut/kaluza/147/sink.s3,1,0.065021
benchmark/laut/kaluza/1714/sink.s3,0,0.023167
benchmark/laut/kaluza/1248/sink.s3,0,0.067773
benchmark/laut/kaluza/1864/sink.s3,0,0.071712
benchmark/laut/kaluza/713/sink.s3,1,0.035207
benchmark/laut/kaluza/362/sink.s3,0,0.037370
benchmark/laut/kaluza/728/sink.s3,0,0.035720
benchmark/laut/kaluza/1684/sink.s3,1,0.037541
benchmark/laut/kaluza/1270/sink.s3,0,0.034139
benchmark/laut/kaluza/1770/sink.s3,t,0.0
benchmark/laut/kaluza/1700/sink.s3,1,0.064925
benchmark/laut/kaluza/1784/sink.s3,0,0.036836
benchmark/laut/kaluza/446/sink.s3,0,0.034961
benchmark/laut/kaluza/1965/sink.s3,1,0.071879
benchmark/laut/kaluza/822/sink.s3,1,0.066641
benchmark/laut/kaluza/1048/sink.s3,1,0.035728
benchmark/laut/kaluza/3/sink.s3,0,0.034547
benchmark/laut/kaluza/1168/sink.s3,0,0.036348
benchmark/laut/kaluza/515/sink.s3,0,0.033960
benchmark/laut/kaluza/1594/sink.s3,0,0.035397
benchmark/laut/kaluza/1188/sink.s3,0,0.035871
benchmark/laut/kaluza/1190/sink.s3,0,0.024267
benchmark/laut/kaluza/1056/sink.s3,1,0.071678
benchmark/laut/kaluza/1608/sink.s3,0,0.035685
benchmark/laut/kaluza/179/sink.s3,1,0.037135
