benchmark=kaluza,solver=norn,TO=20.000000
path,sat,time
benchmark/laut/kaluza/375/sink.smt2,1,1.075975
benchmark/laut/kaluza/407/sink.smt2,0,0.770035
benchmark/laut/kaluza/16/sink.smt2,1,0.974998
benchmark/laut/kaluza/1726/sink.smt2,1,1.074955
benchmark/laut/kaluza/1556/sink.smt2,0,0.825254
benchmark/laut/kaluza/1277/sink.smt2,0,0.874305
benchmark/laut/kaluza/609/sink.smt2,1,1.126493
benchmark/laut/kaluza/506/sink.smt2,1,1.181902
benchmark/laut/kaluza/598/sink.smt2,1,1.124326
benchmark/laut/kaluza/742/sink.smt2,1,1.177210
benchmark/laut/kaluza/427/sink.smt2,1,1.028911
benchmark/laut/kaluza/235/sink.smt2,0,0.825887
benchmark/laut/kaluza/1663/sink.smt2,1,0.972700
benchmark/laut/kaluza/756/sink.smt2,1,1.123464
benchmark/laut/kaluza/238/sink.smt2,1,0.973663
benchmark/laut/kaluza/833/sink.smt2,1,0.977867
benchmark/laut/kaluza/1771/sink.smt2,1,1.133786
benchmark/laut/kaluza/750/sink.smt2,0,0.826195
benchmark/laut/kaluza/960/sink.smt2,0,0.976443
benchmark/laut/kaluza/129/sink.smt2,1,1.230358
benchmark/laut/kaluza/980/sink.smt2,1,1.178079
benchmark/laut/kaluza/1559/sink.smt2,0,0.924920
benchmark/laut/kaluza/1974/sink.smt2,1,1.077441
benchmark/laut/kaluza/273/sink.smt2,1,1.027772
benchmark/laut/kaluza/1054/sink.smt2,0,1.039716
benchmark/laut/kaluza/278/sink.smt2,1,1.028607
benchmark/laut/kaluza/549/sink.smt2,0,0.829878
benchmark/laut/kaluza/1716/sink.smt2,1,1.226335
benchmark/laut/kaluza/619/sink.smt2,0,0.828585
benchmark/laut/kaluza/242/sink.smt2,1,0.973383
benchmark/laut/kaluza/995/sink.smt2,0,0.871701
benchmark/laut/kaluza/85/sink.smt2,1,0.978992
benchmark/laut/kaluza/122/sink.smt2,0,0.828381
benchmark/laut/kaluza/757/sink.smt2,1,1.180273
benchmark/laut/kaluza/1667/sink.smt2,0,0.824809
benchmark/laut/kaluza/1995/sink.smt2,1,1.177486
benchmark/laut/kaluza/1810/sink.smt2,1,0.971091
benchmark/laut/kaluza/1406/sink.smt2,1,1.127144
benchmark/laut/kaluza/125/sink.smt2,1,1.280813
benchmark/laut/kaluza/343/sink.smt2,0,0.829463
benchmark/laut/kaluza/703/sink.smt2,0,0.772338
benchmark/laut/kaluza/503/sink.smt2,1,1.282215
benchmark/laut/kaluza/1973/sink.smt2,0,0.768397
benchmark/laut/kaluza/1297/sink.smt2,0,0.820544
benchmark/laut/kaluza/280/sink.smt2,0,1.473014
benchmark/laut/kaluza/1307/sink.smt2,0,0.820083
benchmark/laut/kaluza/1766/sink.smt2,0,0.770833
benchmark/laut/kaluza/1315/sink.smt2,0,0.870255
benchmark/laut/kaluza/590/sink.smt2,1,1.223748
benchmark/laut/kaluza/526/sink.smt2,0,1.027884
benchmark/laut/kaluza/1786/sink.smt2,1,1.027553
benchmark/laut/kaluza/788/sink.smt2,1,1.023980
benchmark/laut/kaluza/1782/sink.smt2,0,0.876756
benchmark/laut/kaluza/708/sink.smt2,1,1.025362
benchmark/laut/kaluza/674/sink.smt2,1,1.075993
benchmark/laut/kaluza/887/sink.smt2,0,0.821416
benchmark/laut/kaluza/220/sink.smt2,1,0.923240
benchmark/laut/kaluza/1227/sink.smt2,0,0.873364
benchmark/laut/kaluza/1163/sink.smt2,0,0.773992
benchmark/laut/kaluza/733/sink.smt2,0,0.821357
benchmark/laut/kaluza/1448/sink.smt2,0,0.875339
benchmark/laut/kaluza/164/sink.smt2,1,1.025692
benchmark/laut/kaluza/829/sink.smt2,0,0.874791
benchmark/laut/kaluza/253/sink.smt2,1,2.487369
benchmark/laut/kaluza/1040/sink.smt2,0,0.924485
benchmark/laut/kaluza/112/sink.smt2,1,0.938207
benchmark/laut/kaluza/963/sink.smt2,1,1.177045
benchmark/laut/kaluza/600/sink.smt2,0,0.774572
benchmark/laut/kaluza/1683/sink.smt2,t,0.0
benchmark/laut/kaluza/939/sink.smt2,1,1.234284
benchmark/laut/kaluza/1642/sink.smt2,0,0.770721
benchmark/laut/kaluza/838/sink.smt2,0,0.822759
benchmark/laut/kaluza/832/sink.smt2,0,0.825449
benchmark/laut/kaluza/490/sink.smt2,0,0.872947
benchmark/laut/kaluza/223/sink.smt2,0,0.826803
benchmark/laut/kaluza/681/sink.smt2,1,1.026127
benchmark/laut/kaluza/1935/sink.smt2,1,0.980056
benchmark/laut/kaluza/415/sink.smt2,1,1.227555
benchmark/laut/kaluza/477/sink.smt2,1,1.030682
benchmark/laut/kaluza/764/sink.smt2,1,1.021146
benchmark/laut/kaluza/1897/sink.smt2,0,0.927112
benchmark/laut/kaluza/622/sink.smt2,0,0.825557
benchmark/laut/kaluza/233/sink.smt2,1,2.232755
benchmark/laut/kaluza/1018/sink.smt2,1,0.977265
benchmark/laut/kaluza/418/sink.smt2,1,1.126936
benchmark/laut/kaluza/1349/sink.smt2,1,1.229960
benchmark/laut/kaluza/657/sink.smt2,1,1.084334
benchmark/laut/kaluza/244/sink.smt2,0,0.775076
benchmark/laut/kaluza/1972/sink.smt2,0,0.872622
benchmark/laut/kaluza/1637/sink.smt2,0,0.922527
benchmark/laut/kaluza/847/sink.smt2,1,0.977378
benchmark/laut/kaluza/1234/sink.smt2,1,0.973542
benchmark/laut/kaluza/60/sink.smt2,1,0.999112
benchmark/laut/kaluza/1461/sink.smt2,1,1.075949
benchmark/laut/kaluza/795/sink.smt2,1,1.226881
benchmark/laut/kaluza/1690/sink.smt2,1,1.186028
benchmark/laut/kaluza/1049/sink.smt2,0,1.077095
benchmark/laut/kaluza/131/sink.smt2,0,0.822483
benchmark/laut/kaluza/26/sink.smt2,0,0.823184
benchmark/laut/kaluza/37/sink.smt2,1,1.078644
benchmark/laut/kaluza/1121/sink.smt2,0,0.875064
benchmark/laut/kaluza/1366/sink.smt2,0,0.974664
benchmark/laut/kaluza/1986/sink.smt2,1,0.973926
benchmark/laut/kaluza/271/sink.smt2,1,1.228088
benchmark/laut/kaluza/1528/sink.smt2,1,1.174742
benchmark/laut/kaluza/1516/sink.smt2,1,1.024788
benchmark/laut/kaluza/777/sink.smt2,0,0.775278
benchmark/laut/kaluza/267/sink.smt2,1,1.028606
benchmark/laut/kaluza/1308/sink.smt2,0,0.875172
benchmark/laut/kaluza/137/sink.smt2,1,0.926099
benchmark/laut/kaluza/548/sink.smt2,0,0.825385
benchmark/laut/kaluza/1408/sink.smt2,0,0.830172
benchmark/laut/kaluza/1300/sink.smt2,1,1.172591
benchmark/laut/kaluza/586/sink.smt2,0,0.822825
benchmark/laut/kaluza/523/sink.smt2,1,1.125015
benchmark/laut/kaluza/1232/sink.smt2,0,0.823139
benchmark/laut/kaluza/1926/sink.smt2,0,0.875651
benchmark/laut/kaluza/962/sink.smt2,1,1.180118
benchmark/laut/kaluza/1859/sink.smt2,1,1.176881
benchmark/laut/kaluza/974/sink.smt2,0,0.875904
benchmark/laut/kaluza/1464/sink.smt2,0,0.822760
benchmark/laut/kaluza/922/sink.smt2,0,0.826358
benchmark/laut/kaluza/1167/sink.smt2,1,1.177220
benchmark/laut/kaluza/1476/sink.smt2,1,0.920217
benchmark/laut/kaluza/419/sink.smt2,1,1.138511
benchmark/laut/kaluza/1643/sink.smt2,0,0.824984
benchmark/laut/kaluza/1469/sink.smt2,0,0.921896
benchmark/laut/kaluza/5/sink.smt2,0,0.828563
benchmark/laut/kaluza/351/sink.smt2,0,0.976495
benchmark/laut/kaluza/462/sink.smt2,1,1.174531
benchmark/laut/kaluza/349/sink.smt2,1,0.874906
benchmark/laut/kaluza/540/sink.smt2,1,1.177020
benchmark/laut/kaluza/123/sink.smt2,1,1.029520
benchmark/laut/kaluza/636/sink.smt2,0,0.872929
benchmark/laut/kaluza/1557/sink.smt2,0,0.870490
benchmark/laut/kaluza/4/sink.smt2,1,1.076080
benchmark/laut/kaluza/744/sink.smt2,0,0.874588
benchmark/laut/kaluza/132/sink.smt2,1,1.074357
benchmark/laut/kaluza/914/sink.smt2,0,0.925543
benchmark/laut/kaluza/380/sink.smt2,1,0.974106
benchmark/laut/kaluza/1427/sink.smt2,1,1.179604
benchmark/laut/kaluza/1057/sink.smt2,0,0.928245
benchmark/laut/kaluza/1749/sink.smt2,1,0.977801
benchmark/laut/kaluza/1353/sink.smt2,0,0.926045
benchmark/laut/kaluza/866/sink.smt2,0,0.827594
benchmark/laut/kaluza/669/sink.smt2,0,0.874735
benchmark/laut/kaluza/1553/sink.smt2,1,1.026030
benchmark/laut/kaluza/1279/sink.smt2,0,0.872850
benchmark/laut/kaluza/1759/sink.smt2,0,0.775775
benchmark/laut/kaluza/603/sink.smt2,1,1.029542
benchmark/laut/kaluza/1728/sink.smt2,0,0.975590
benchmark/laut/kaluza/354/sink.smt2,1,0.925259
benchmark/laut/kaluza/1391/sink.smt2,0,0.829171
