benchmark=kaluza,solver=abc,TO=20.000000
path,sat,time,step
benchmark/laut/kaluza/1973/sink.abc,0,0.121154,1
benchmark/laut/kaluza/1297/sink.abc,0,0.124960,1
benchmark/laut/kaluza/280/sink.abc,0,0.880736,1
benchmark/laut/kaluza/1307/sink.abc,0,0.119209,1
benchmark/laut/kaluza/1766/sink.abc,0,0.118821,1
benchmark/laut/kaluza/1315/sink.abc,0,0.119030,1
benchmark/laut/kaluza/590/sink.abc,1,0.170003,20
benchmark/laut/kaluza/526/sink.abc,0,0.139892,1
benchmark/laut/kaluza/1786/sink.abc,1,0.117219,2
benchmark/laut/kaluza/788/sink.abc,1,0.173084,23
benchmark/laut/kaluza/1782/sink.abc,0,0.170181,1
benchmark/laut/kaluza/708/sink.abc,1,0.228143,23
benchmark/laut/kaluza/674/sink.abc,1,0.117174,2
benchmark/laut/kaluza/887/sink.abc,0,0.121348,1
benchmark/laut/kaluza/220/sink.abc,1,0.119954,1
benchmark/laut/kaluza/1227/sink.abc,0,0.089646,1
benchmark/laut/kaluza/1163/sink.abc,0,0.117060,1
benchmark/laut/kaluza/733/sink.abc,0,0.124666,1
benchmark/laut/kaluza/1448/sink.abc,0,0.119911,1
benchmark/laut/kaluza/164/sink.abc,1,0.119133,5
benchmark/laut/kaluza/829/sink.abc,0,0.121389,1
benchmark/laut/kaluza/253/sink.abc,t,0.0,0
benchmark/laut/kaluza/1040/sink.abc,0,0.117815,1
benchmark/laut/kaluza/112/sink.abc,1,0.125892,4
benchmark/laut/kaluza/963/sink.abc,1,0.118102,12
benchmark/laut/kaluza/600/sink.abc,0,0.124653,1
benchmark/laut/kaluza/1683/sink.abc,t,0.0,0
benchmark/laut/kaluza/939/sink.abc,1,0.170873,19
benchmark/laut/kaluza/1642/sink.abc,0,0.323353,1
benchmark/laut/kaluza/838/sink.abc,0,0.116641,1
benchmark/laut/kaluza/832/sink.abc,0,0.121036,1
benchmark/laut/kaluza/490/sink.abc,0,0.117287,1
benchmark/laut/kaluza/223/sink.abc,0,0.117846,1
benchmark/laut/kaluza/681/sink.abc,1,0.183647,23
benchmark/laut/kaluza/1935/sink.abc,1,0.167834,23
benchmark/laut/kaluza/415/sink.abc,1,0.320226,6
benchmark/laut/kaluza/477/sink.abc,1,0.117379,10
benchmark/laut/kaluza/764/sink.abc,1,0.118601,12
benchmark/laut/kaluza/1897/sink.abc,0,0.118169,1
benchmark/laut/kaluza/622/sink.abc,0,0.118175,1
benchmark/laut/kaluza/233/sink.abc,1,0.726552,66
benchmark/laut/kaluza/1018/sink.abc,1,0.116911,2
benchmark/laut/kaluza/418/sink.abc,1,0.118604,2
benchmark/laut/kaluza/1349/sink.abc,1,0.170276,21
benchmark/laut/kaluza/657/sink.abc,1,0.119025,2
benchmark/laut/kaluza/244/sink.abc,0,0.122273,1
benchmark/laut/kaluza/1972/sink.abc,0,0.117089,1
benchmark/laut/kaluza/1637/sink.abc,0,0.122308,1
benchmark/laut/kaluza/847/sink.abc,1,0.118073,2
benchmark/laut/kaluza/1234/sink.abc,1,0.117574,2
benchmark/laut/kaluza/60/sink.abc,1,0.115903,1
benchmark/laut/kaluza/1461/sink.abc,1,0.124329,12
benchmark/laut/kaluza/795/sink.abc,1,0.371358,6
benchmark/laut/kaluza/1690/sink.abc,1,0.182720,22
benchmark/laut/kaluza/1049/sink.abc,0,0.122719,1
benchmark/laut/kaluza/131/sink.abc,0,0.116080,1
benchmark/laut/kaluza/26/sink.abc,0,0.119907,1
benchmark/laut/kaluza/37/sink.abc,1,0.119542,5
benchmark/laut/kaluza/1121/sink.abc,0,0.119378,1
benchmark/laut/kaluza/1366/sink.abc,0,0.123227,1
benchmark/laut/kaluza/1986/sink.abc,1,0.172167,23
benchmark/laut/kaluza/271/sink.abc,1,0.371858,6
benchmark/laut/kaluza/1528/sink.abc,1,0.222920,20
benchmark/laut/kaluza/1516/sink.abc,1,0.118526,2
benchmark/laut/kaluza/777/sink.abc,0,0.118629,1
benchmark/laut/kaluza/267/sink.abc,1,0.119916,1
benchmark/laut/kaluza/1308/sink.abc,0,0.123629,1
benchmark/laut/kaluza/137/sink.abc,1,0.122730,2
benchmark/laut/kaluza/548/sink.abc,0,0.121066,1
benchmark/laut/kaluza/1408/sink.abc,0,0.126074,1
benchmark/laut/kaluza/1300/sink.abc,1,0.171821,20
benchmark/laut/kaluza/586/sink.abc,0,0.175521,1
benchmark/laut/kaluza/523/sink.abc,1,0.119700,2
benchmark/laut/kaluza/1232/sink.abc,0,0.121055,1
benchmark/laut/kaluza/1926/sink.abc,0,0.120872,1
benchmark/laut/kaluza/962/sink.abc,1,0.168475,21
benchmark/laut/kaluza/1859/sink.abc,1,0.169425,20
benchmark/laut/kaluza/974/sink.abc,0,0.120714,1
benchmark/laut/kaluza/1464/sink.abc,0,0.117567,1
benchmark/laut/kaluza/922/sink.abc,0,0.117410,1
benchmark/laut/kaluza/1167/sink.abc,1,0.168324,21
benchmark/laut/kaluza/1476/sink.abc,1,0.172685,2
benchmark/laut/kaluza/419/sink.abc,1,0.220923,21
benchmark/laut/kaluza/1643/sink.abc,0,0.118872,1
benchmark/laut/kaluza/1469/sink.abc,0,0.120587,1
benchmark/laut/kaluza/5/sink.abc,0,0.120079,1
benchmark/laut/kaluza/351/sink.abc,0,0.120062,1
benchmark/laut/kaluza/462/sink.abc,1,0.169298,22
benchmark/laut/kaluza/349/sink.abc,1,0.121169,2
benchmark/laut/kaluza/540/sink.abc,1,0.219604,22
benchmark/laut/kaluza/123/sink.abc,1,0.121041,1
benchmark/laut/kaluza/636/sink.abc,0,0.119829,1
benchmark/laut/kaluza/1557/sink.abc,0,0.177255,1
benchmark/laut/kaluza/4/sink.abc,1,0.118620,11
benchmark/laut/kaluza/744/sink.abc,0,0.121678,1
benchmark/laut/kaluza/132/sink.abc,1,0.120045,5
benchmark/laut/kaluza/914/sink.abc,0,0.172508,1
benchmark/laut/kaluza/380/sink.abc,1,0.120211,2
benchmark/laut/kaluza/1427/sink.abc,1,0.171366,21
benchmark/laut/kaluza/1057/sink.abc,0,0.173160,1
benchmark/laut/kaluza/1749/sink.abc,1,0.119342,1
benchmark/laut/kaluza/1353/sink.abc,0,0.116322,1
benchmark/laut/kaluza/866/sink.abc,0,0.181965,1
benchmark/laut/kaluza/669/sink.abc,0,0.120322,1
benchmark/laut/kaluza/1553/sink.abc,1,0.173446,2
benchmark/laut/kaluza/1279/sink.abc,0,0.169744,1
benchmark/laut/kaluza/1759/sink.abc,0,0.124414,1
benchmark/laut/kaluza/603/sink.abc,1,0.174296,23
benchmark/laut/kaluza/1728/sink.abc,0,0.118671,1
benchmark/laut/kaluza/354/sink.abc,1,0.124251,1
benchmark/laut/kaluza/1391/sink.abc,0,0.119910,1
benchmark/laut/kaluza/582/sink.abc,0,0.118501,1
benchmark/laut/kaluza/1272/sink.abc,1,0.121337,2
benchmark/laut/kaluza/1879/sink.abc,1,0.221463,12
benchmark/laut/kaluza/1186/sink.abc,0,0.115859,1
benchmark/laut/kaluza/448/sink.abc,1,0.168003,20
benchmark/laut/kaluza/722/sink.abc,1,0.167755,20
benchmark/laut/kaluza/794/sink.abc,0,0.118565,1
benchmark/laut/kaluza/881/sink.abc,1,0.117983,2
benchmark/laut/kaluza/941/sink.abc,1,0.168847,21
benchmark/laut/kaluza/86/sink.abc,1,0.625948,79
benchmark/laut/kaluza/24/sink.abc,0,0.116772,1
benchmark/laut/kaluza/630/sink.abc,0,0.116685,1
benchmark/laut/kaluza/583/sink.abc,0,0.116964,1
benchmark/laut/kaluza/1802/sink.abc,0,0.115448,1
benchmark/laut/kaluza/706/sink.abc,0,0.118844,1
benchmark/laut/kaluza/1670/sink.abc,1,0.273379,21
benchmark/laut/kaluza/1861/sink.abc,0,0.119828,1
benchmark/laut/kaluza/1767/sink.abc,1,0.167867,20
benchmark/laut/kaluza/1015/sink.abc,0,0.123785,1
benchmark/laut/kaluza/1063/sink.abc,0,0.124512,1
benchmark/laut/kaluza/1633/sink.abc,1,0.119707,2
benchmark/laut/kaluza/1548/sink.abc,0,0.119449,1
benchmark/laut/kaluza/859/sink.abc,1,0.117709,20
benchmark/laut/kaluza/856/sink.abc,1,0.570726,22
benchmark/laut/kaluza/495/sink.abc,0,0.118579,1
benchmark/laut/kaluza/206/sink.abc,1,0.324844,6
benchmark/laut/kaluza/1312/sink.abc,1,0.123649,2
benchmark/laut/kaluza/1772/sink.abc,0,0.122454,1
benchmark/laut/kaluza/1921/sink.abc,1,0.117259,2
benchmark/laut/kaluza/1209/sink.abc,1,0.119388,2
benchmark/laut/kaluza/912/sink.abc,0,0.117853,1
benchmark/laut/kaluza/956/sink.abc,0,0.170196,1
benchmark/laut/kaluza/1584/sink.abc,0,0.119707,1
benchmark/laut/kaluza/1846/sink.abc,0,0.120665,1
benchmark/laut/kaluza/1696/sink.abc,1,0.118152,12
benchmark/laut/kaluza/474/sink.abc,1,0.118829,2
benchmark/laut/kaluza/140/sink.abc,0,0.116968,1
benchmark/laut/kaluza/1490/sink.abc,1,0.423469,6
benchmark/laut/kaluza/1486/sink.abc,0,0.118398,1
benchmark/laut/kaluza/1682/sink.abc,0,0.120020,1
benchmark/laut/kaluza/1367/sink.abc,1,0.320357,6
benchmark/laut/kaluza/439/sink.abc,0,0.118047,1
benchmark/laut/kaluza/918/sink.abc,0,0.168132,1
benchmark/laut/kaluza/50/sink.abc,0,0.119396,1
benchmark/laut/kaluza/1198/sink.abc,0,0.120378,1
benchmark/laut/kaluza/519/sink.abc,0,0.122935,1
benchmark/laut/kaluza/758/sink.abc,1,0.422354,25
benchmark/laut/kaluza/90/sink.abc,1,0.120942,2
benchmark/laut/kaluza/312/sink.abc,0,0.170765,1
benchmark/laut/kaluza/1589/sink.abc,0,0.119641,1
benchmark/laut/kaluza/1785/sink.abc,0,0.116530,1
