benchmark=kaluza,solver=ABC,TO=20.000000
path,sat,time
benchmark/laut/kaluza/1339/sink.s3,0,0.033052
benchmark/laut/kaluza/1243/sink.s3,1,0.034805
benchmark/laut/kaluza/770/sink.s3,1,0.033986
benchmark/laut/kaluza/1318/sink.s3,0,0.034880
benchmark/laut/kaluza/257/sink.s3,1,0.117802
benchmark/laut/kaluza/390/sink.s3,1,0.067633
benchmark/laut/kaluza/1426/sink.s3,1,0.167116
benchmark/laut/kaluza/1039/sink.s3,0,0.069707
benchmark/laut/kaluza/216/sink.s3,1,1.184549
benchmark/laut/kaluza/607/sink.s3,0,0.037548
benchmark/laut/kaluza/399/sink.s3,0,0.068909
benchmark/laut/kaluza/1127/sink.s3,0,0.064902
benchmark/laut/kaluza/1452/sink.s3,0,0.035789
benchmark/laut/kaluza/735/sink.s3,1,0.174171
benchmark/laut/kaluza/920/sink.s3,0,0.071949
benchmark/laut/kaluza/1261/sink.s3,0,0.066580
benchmark/laut/kaluza/348/sink.s3,1,0.032668
benchmark/laut/kaluza/492/sink.s3,1,0.167199
benchmark/laut/kaluza/670/sink.s3,0,0.022707
benchmark/laut/kaluza/1449/sink.s3,0,0.033766
benchmark/laut/kaluza/209/sink.s3,1,0.117539
benchmark/laut/kaluza/776/sink.s3,0,0.018282
benchmark/laut/kaluza/1067/sink.s3,0,0.035309
benchmark/laut/kaluza/797/sink.s3,0,0.035951
benchmark/laut/kaluza/1276/sink.s3,1,0.220684
benchmark/laut/kaluza/1369/sink.s3,1,0.165967
benchmark/laut/kaluza/1430/sink.s3,1,0.068562
benchmark/laut/kaluza/338/sink.s3,1,0.266998
benchmark/laut/kaluza/653/sink.s3,1,0.177345
benchmark/laut/kaluza/1577/sink.s3,0,0.066262
benchmark/laut/kaluza/344/sink.s3,1,0.270384
benchmark/laut/kaluza/1961/sink.s3,0,0.016844
benchmark/laut/kaluza/611/sink.s3,1,0.068819
benchmark/laut/kaluza/1586/sink.s3,1,0.266923
benchmark/laut/kaluza/184/sink.s3,1,0.067427
benchmark/laut/kaluza/1341/sink.s3,0,0.034399
benchmark/laut/kaluza/1808/sink.s3,0,0.033669
benchmark/laut/kaluza/994/sink.s3,0,0.018596
benchmark/laut/kaluza/406/sink.s3,0,0.065866
benchmark/laut/kaluza/880/sink.s3,0,0.016564
benchmark/laut/kaluza/551/sink.s3,0,0.076600
benchmark/laut/kaluza/1026/sink.s3,0,0.118527
benchmark/laut/kaluza/449/sink.s3,0,0.065486
benchmark/laut/kaluza/1060/sink.s3,0,0.033006
benchmark/laut/kaluza/1850/sink.s3,1,0.033854
benchmark/laut/kaluza/1817/sink.s3,0,0.034509
benchmark/laut/kaluza/884/sink.s3,0,0.066187
benchmark/laut/kaluza/42/sink.s3,1,0.120907
benchmark/laut/kaluza/67/sink.s3,1,0.119875
benchmark/laut/kaluza/1202/sink.s3,1,0.270171
benchmark/laut/kaluza/102/sink.s3,1,0.120153
benchmark/laut/kaluza/1918/sink.s3,0,0.033212
benchmark/laut/kaluza/1892/sink.s3,1,0.419837
benchmark/laut/kaluza/700/sink.s3,1,0.267420
benchmark/laut/kaluza/826/sink.s3,1,0.066288
