benchmark=kaluza,solver=z3,TO=20.000000
path,sat,time
benchmark/laut/kaluza/213/sink.smt2,1,0.038981
benchmark/laut/kaluza/1314/sink.smt2,0,0.034918
benchmark/laut/kaluza/705/sink.smt2,1,0.033344
benchmark/laut/kaluza/455/sink.smt2,0,0.018466
benchmark/laut/kaluza/491/sink.smt2,0,0.041479
benchmark/laut/kaluza/685/sink.smt2,1,0.037497
benchmark/laut/kaluza/1034/sink.smt2,1,0.035988
benchmark/laut/kaluza/81/sink.smt2,1,0.034270
benchmark/laut/kaluza/460/sink.smt2,0,0.020408
benchmark/laut/kaluza/414/sink.smt2,1,0.037933
benchmark/laut/kaluza/1609/sink.smt2,0,0.018378
benchmark/laut/kaluza/147/sink.smt2,1,0.036047
benchmark/laut/kaluza/1714/sink.smt2,0,0.022079
benchmark/laut/kaluza/1248/sink.smt2,0,0.019497
benchmark/laut/kaluza/1864/sink.smt2,0,0.036433
benchmark/laut/kaluza/713/sink.smt2,1,0.036894
benchmark/laut/kaluza/362/sink.smt2,0,0.071871
benchmark/laut/kaluza/728/sink.smt2,0,0.020267
benchmark/laut/kaluza/1684/sink.smt2,1,0.033911
benchmark/laut/kaluza/1270/sink.smt2,0,0.018633
benchmark/laut/kaluza/1770/sink.smt2,1,0.117211
benchmark/laut/kaluza/1700/sink.smt2,1,0.070761
benchmark/laut/kaluza/1784/sink.smt2,0,0.017248
benchmark/laut/kaluza/446/sink.smt2,0,0.018412
benchmark/laut/kaluza/1965/sink.smt2,1,0.036847
benchmark/laut/kaluza/822/sink.smt2,1,0.017515
benchmark/laut/kaluza/1048/sink.smt2,1,0.035620
benchmark/laut/kaluza/3/sink.smt2,0,0.017924
benchmark/laut/kaluza/1168/sink.smt2,0,0.019693
benchmark/laut/kaluza/515/sink.smt2,0,0.020041
benchmark/laut/kaluza/1594/sink.smt2,0,0.015543
benchmark/laut/kaluza/1188/sink.smt2,0,0.018017
benchmark/laut/kaluza/1190/sink.smt2,0,0.018704
benchmark/laut/kaluza/1056/sink.smt2,1,0.017876
benchmark/laut/kaluza/1608/sink.smt2,0,0.016502
benchmark/laut/kaluza/179/sink.smt2,1,0.017116
benchmark/laut/kaluza/931/sink.smt2,1,0.035770
benchmark/laut/kaluza/1189/sink.smt2,0,0.035485
benchmark/laut/kaluza/1664/sink.smt2,1,0.037767
benchmark/laut/kaluza/1923/sink.smt2,1,0.020053
benchmark/laut/kaluza/1478/sink.smt2,0,0.016617
benchmark/laut/kaluza/985/sink.smt2,0,0.019509
benchmark/laut/kaluza/1694/sink.smt2,0,0.018688
benchmark/laut/kaluza/628/sink.smt2,1,0.047313
benchmark/laut/kaluza/375/sink.smt2,1,0.018561
benchmark/laut/kaluza/407/sink.smt2,0,0.022602
benchmark/laut/kaluza/16/sink.smt2,1,0.018743
benchmark/laut/kaluza/1726/sink.smt2,1,0.018046
benchmark/laut/kaluza/1556/sink.smt2,0,0.017315
benchmark/laut/kaluza/1277/sink.smt2,0,0.018614
benchmark/laut/kaluza/609/sink.smt2,1,0.040460
benchmark/laut/kaluza/506/sink.smt2,1,0.041136
benchmark/laut/kaluza/598/sink.smt2,1,0.036753
benchmark/laut/kaluza/742/sink.smt2,1,0.036872
benchmark/laut/kaluza/427/sink.smt2,1,0.034704
benchmark/laut/kaluza/235/sink.smt2,0,0.019302
benchmark/laut/kaluza/1663/sink.smt2,1,0.018391
benchmark/laut/kaluza/756/sink.smt2,1,0.028672
benchmark/laut/kaluza/238/sink.smt2,1,0.037646
benchmark/laut/kaluza/833/sink.smt2,1,0.037664
benchmark/laut/kaluza/1771/sink.smt2,1,0.034001
benchmark/laut/kaluza/750/sink.smt2,0,0.033473
benchmark/laut/kaluza/960/sink.smt2,0,0.018105
benchmark/laut/kaluza/129/sink.smt2,1,0.036012
benchmark/laut/kaluza/980/sink.smt2,1,0.033679
benchmark/laut/kaluza/1559/sink.smt2,0,0.021115
benchmark/laut/kaluza/1974/sink.smt2,1,0.019224
benchmark/laut/kaluza/273/sink.smt2,1,0.021320
benchmark/laut/kaluza/1054/sink.smt2,0,0.018831
benchmark/laut/kaluza/278/sink.smt2,1,0.034899
benchmark/laut/kaluza/549/sink.smt2,0,0.021068
benchmark/laut/kaluza/1716/sink.smt2,1,0.039916
benchmark/laut/kaluza/619/sink.smt2,0,0.020521
benchmark/laut/kaluza/242/sink.smt2,1,0.018087
benchmark/laut/kaluza/995/sink.smt2,0,0.018687
benchmark/laut/kaluza/85/sink.smt2,1,0.036995
benchmark/laut/kaluza/122/sink.smt2,0,0.036866
benchmark/laut/kaluza/757/sink.smt2,1,0.018772
benchmark/laut/kaluza/1667/sink.smt2,0,0.018112
benchmark/laut/kaluza/1995/sink.smt2,1,0.019850
benchmark/laut/kaluza/1810/sink.smt2,1,0.017363
benchmark/laut/kaluza/1406/sink.smt2,1,0.018140
benchmark/laut/kaluza/125/sink.smt2,1,0.032718
benchmark/laut/kaluza/343/sink.smt2,0,0.021107
benchmark/laut/kaluza/703/sink.smt2,0,0.018064
benchmark/laut/kaluza/503/sink.smt2,1,0.033384
benchmark/laut/kaluza/1973/sink.smt2,0,0.018289
benchmark/laut/kaluza/1297/sink.smt2,0,0.019690
benchmark/laut/kaluza/280/sink.smt2,0,0.026416
benchmark/laut/kaluza/1307/sink.smt2,0,0.020344
benchmark/laut/kaluza/1766/sink.smt2,0,0.032747
benchmark/laut/kaluza/1315/sink.smt2,0,0.017327
benchmark/laut/kaluza/590/sink.smt2,1,0.018295
benchmark/laut/kaluza/526/sink.smt2,0,0.016674
