benchmark=d_str_rep_nt,solver=trau,TO=600.000000
path,sat,time
benchmark/laut/d_str_rep_nt/21110/sink.trau,0,0.873091
benchmark/laut/d_str_rep_nt/29920/sink.trau,0,1.824804
benchmark/laut/d_str_rep_nt/29882/sink.trau,0,0.219415
benchmark/laut/d_str_rep_nt/17621/sink.trau,1,0.627831
benchmark/laut/d_str_rep_nt/16958/sink.trau,0,0.170221
benchmark/laut/d_str_rep_nt/21094/sink.trau,0,0.672115
benchmark/laut/d_str_rep_nt/29569/sink.trau,0,0.775126
benchmark/laut/d_str_rep_nt/17327/sink.trau,1,0.582368
benchmark/laut/d_str_rep_nt/20094/sink.trau,1,0.874947
benchmark/laut/d_str_rep_nt/20539/sink.trau,0,0.167345
benchmark/laut/d_str_rep_nt/29952/sink.trau,0,1.274781
benchmark/laut/d_str_rep_nt/20623/sink.trau,0,0.623058
benchmark/laut/d_str_rep_nt/17951/sink.trau,0,0.171834
benchmark/laut/d_str_rep_nt/17131/sink.trau,0,0.173262
benchmark/laut/d_str_rep_nt/19041/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/17525/sink.trau,0,0.625977
benchmark/laut/d_str_rep_nt/16988/sink.trau,0,0.831845
benchmark/laut/d_str_rep_nt/20652/sink.trau,0,0.719591
benchmark/laut/d_str_rep_nt/19233/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/17803/sink.trau,0,0.525228
benchmark/laut/d_str_rep_nt/2200/sink.trau,0,0.170842
benchmark/laut/d_str_rep_nt/20954/sink.trau,1,56.096659
benchmark/laut/d_str_rep_nt/29972/sink.trau,0,0.521402
benchmark/laut/d_str_rep_nt/30039/sink.trau,0,0.571716
benchmark/laut/d_str_rep_nt/19352/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/17081/sink.trau,0,0.573549
benchmark/laut/d_str_rep_nt/24522/sink.trau,0,5.719568
benchmark/laut/d_str_rep_nt/17363/sink.trau,1,1.269950
benchmark/laut/d_str_rep_nt/24717/sink.trau,0,0.878533
benchmark/laut/d_str_rep_nt/29816/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/17756/sink.trau,0,0.568830
