benchmark=d_str_rep_nt,solver=s3p,TO=600.000000
path,sat,time
benchmark/laut/d_str_rep_nt/17621/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/16958/sink.s3,0,0.420773
benchmark/laut/d_str_rep_nt/21094/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29569/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17327/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20094/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20539/sink.s3,0,0.366403
benchmark/laut/d_str_rep_nt/29952/sink.s3,0,0.425415
benchmark/laut/d_str_rep_nt/20623/sink.s3,0,0.468183
benchmark/laut/d_str_rep_nt/17951/sink.s3,0,0.421773
benchmark/laut/d_str_rep_nt/17131/sink.s3,0,0.423603
benchmark/laut/d_str_rep_nt/19041/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17525/sink.s3,0,0.468317
benchmark/laut/d_str_rep_nt/16988/sink.s3,0,0.467313
benchmark/laut/d_str_rep_nt/20652/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19233/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17803/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/2200/sink.s3,0,0.065072
benchmark/laut/d_str_rep_nt/20954/sink.s3,0,5.809382
benchmark/laut/d_str_rep_nt/29972/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/30039/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19352/sink.s3,0,0.422097
benchmark/laut/d_str_rep_nt/17081/sink.s3,0,0.469295
benchmark/laut/d_str_rep_nt/24522/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17363/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/24717/sink.s3,t,0.0
benchmark/laut/d_str_rep_nt/29816/sink.s3,t,0.0
benchmark/laut/d_str_rep_nt/17756/sink.s3,x,0.0
